,strategy_code,trade nr.,expiration,entry_date,strikes,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
149,DPE,149,2019-06-21,2019-04-08,1580/1550/1510,0.45,2019-05-13,35,39,-5225,-99275,95,-5.26%,le
150,DPE,150,2019-07-19,2019-05-07,1580/1550/1510,-0.35,2019-05-13,6,67,-3605,-99395,103,-3.63%,le
151,DPE,151,2019-08-16,2019-06-05,1510/1480/1440,-0.15,2019-07-08,33,39,10099,-99485,101,10.15%,ue
152,DPE,152,2019-09-20,2019-07-08,1560/1530/1490,0.35,2019-08-05,28,46,-11520,-99360,96,-11.59%,le
153,DPE,153,2019-10-18,2019-08-05,1490/1460/1420,-0.6,2019-09-09,35,39,13249,-99640,106,13.3%,ue
154,DPE,154,2019-11-15,2019-09-03,1470/1440/1400,-0.5,2019-10-11,38,35,9450,-99750,105,9.47%,ue
155,DPE,155,2019-12-20,2019-10-07,1500/1470/1430,-0.3,2019-11-11,35,39,7210,-99910,103,7.22%,ue
156,DP,1,2007-01-20,2006-11-09,760/730/690,2.6,2006-12-14,35,37,-7307,-99540,79,-7.34%,ue
157,DP,2,2007-02-17,2006-12-06,800/770/730,2.25,2007-01-05,30,43,18224,-99225,81,18.37%,tp
158,DP,3,2007-03-17,2007-01-03,790/760/720,2.1,2007-02-20,48,25,-10660,-99220,82,-10.74%,ue
159,DP,4,2007-04-21,2007-02-05,810/780/740,2.45,2007-03-05,28,47,5600,-99600,80,5.62%,le
160,DP,5,2007-05-19,2007-03-05,760/730/690,1.4,2007-04-10,36,39,-5872,-99180,87,-5.92%,ue
161,DP,6,2007-06-16,2007-04-04,810/780/740,1.85,2007-05-22,48,25,-3569,-99540,84,-3.59%,ue
162,DP,7,2007-07-21,2007-05-08,830/800/760,1.85,2007-06-20,43,31,13860,-99540,84,13.92%,tp
163,DP,8,2007-08-18,2007-06-05,850/820/780,1.9,2007-07-18,43,31,14280,-99960,84,14.29%,tp
164,DP,9,2007-09-22,2007-07-10,840/810/770,1.4,2007-07-26,16,58,1740,-99180,87,1.75%,le
165,DP,10,2007-10-20,2007-08-09,790/760/720,0.35,2007-09-24,46,26,19680,-99360,96,19.81%,tp
166,DP,11,2007-11-17,2007-09-05,790/760/720,0.2,2007-10-09,34,39,6860,-99960,98,6.86%,ue
167,DP,12,2007-12-22,2007-10-08,840/810/770,1.0,2007-11-01,24,51,450,-99000,90,0.45%,le
168,DP,13,2008-01-19,2007-11-05,790/760/720,0.15,2007-11-20,15,60,3429,-99470,98,3.45%,le
169,DP,14,2008-02-16,2007-12-03,760/730/690,0.3,2008-01-08,36,39,11640,-99910,97,11.65%,le
170,DP,15,2008-03-22,2008-01-07,720/690/650,0.55,2008-01-18,11,64,4230,-99170,94,4.27%,le
171,DP,16,2008-04-19,2008-02-04,720/690/650,0.45,2008-03-06,31,44,5225,-99275,95,5.26%,le
172,DP,17,2008-05-17,2008-03-03,680/650/610,0.7,2008-04-08,36,39,11857,-99509,93,11.92%,ue
173,DP,18,2008-06-21,2008-04-07,710/680/640,0.95,2008-05-15,38,37,8189,-99645,91,8.22%,ue
174,DP,19,2008-07-19,2008-05-05,720/690/650,1.45,2008-06-18,44,31,15877,-99615,87,15.94%,tp
175,DP,20,2008-08-16,2008-06-02,740/710/670,1.25,2008-06-27,25,50,7919,-99000,88,8.0%,le
176,DP,21,2008-09-20,2008-07-07,660/630/590,1.25,2008-08-12,36,39,-3959,-99000,88,-4.0%,ue
177,DP,22,2008-10-18,2008-08-04,700/670/630,1.1,2008-09-18,45,30,16649,-99900,90,16.67%,tp
178,DP,23,2008-11-22,2008-09-09,710/680/640,0.85,2008-09-29,20,54,-13800,-99820,92,-13.82%,le
179,DP,24,2008-12-20,2008-10-06,590/560/520,-0.9,2008-10-09,3,72,-20709,-99190,109,-20.88%,le
180,DP,25,2009-01-17,2008-11-05,520/490/450,-0.3,2008-11-12,7,66,-9270,-99910,103,-9.28%,le
181,DP,26,2009-02-21,2008-12-09,470/440/400,-0.7,2009-01-02,24,50,21934,-99510,107,22.04%,tp
182,DP,27,2009-03-21,2009-01-05,500/470/430,0.4,2009-01-14,9,66,-4800,-99840,96,-4.81%,le
183,DP,28,2009-04-18,2009-02-04,450/420/380,1.05,2009-02-20,16,57,4500,-99450,90,4.52%,le
184,DP,29,2009-05-16,2009-03-02,370/340/300,1.4,2009-04-07,36,39,1304,-99180,87,1.31%,ue
185,DP,30,2009-06-20,2009-04-06,450/420/380,0.75,2009-05-12,36,39,11160,-99975,93,11.16%,ue
186,DP,31,2009-07-18,2009-05-07,490/460/420,1.2,2009-06-09,33,39,5562,-99680,89,5.58%,ue
187,DP,32,2009-08-22,2009-06-08,530/500/460,1.4,2009-06-29,21,54,19574,-99180,87,19.74%,tp
188,DP,33,2009-09-19,2009-07-06,490/460/420,2.05,2009-08-11,36,39,-10660,-98810,82,-10.79%,ue
189,DP,34,2009-10-17,2009-08-05,570/540/500,2.35,2009-09-15,41,32,-3200,-98800,80,-3.24%,ue
190,DP,35,2009-11-21,2009-09-17,620/590/550,2.4,2009-10-19,32,33,14400,-99200,80,14.52%,tp
191,DP,36,2009-12-19,2009-10-12,610/580/540,2.2,2009-10-28,16,52,1619,-98820,81,1.64%,le
192,DP,37,2010-01-16,2009-11-02,560/530/490,1.55,2009-12-08,36,39,215,-99330,86,0.22%,ue
193,DP,38,2010-02-20,2009-12-08,600/570/530,2.0,2010-01-12,35,39,-2490,-99600,83,-2.5%,ue
194,DP,39,2010-03-20,2010-01-06,640/610/570,2.45,2010-01-28,22,51,16800,-99600,80,16.87%,tp
195,DP,40,2010-04-17,2010-02-03,610/580/540,2.75,2010-03-09,34,39,-15015,-99450,78,-15.1%,ue
196,DP,41,2010-05-22,2010-03-12,680/650/610,2.95,2010-04-14,33,38,-11550,-99715,77,-11.58%,ue
197,DP,42,2010-06-19,2010-04-07,700/670/630,2.65,2010-05-07,30,43,-12244,-99935,79,-12.25%,le
198,DP,43,2010-07-17,2010-05-04,710/680/640,1.15,2010-05-07,3,71,-14239,-99235,89,-14.35%,le
199,DP,44,2010-08-21,2010-06-07,620/590/550,0.05,2010-07-07,30,45,21284,-99494,99,21.39%,tp
200,DP,45,2010-09-18,2010-07-06,590/560/520,0.9,2010-08-10,35,39,227,-99189,91,0.23%,ue
201,DP,46,2010-10-16,2010-08-03,660/630/590,1.35,2010-08-12,9,65,-439,-99879,88,-0.44%,le
202,DP,47,2010-11-20,2010-09-07,630/600/560,1.15,2010-10-12,35,39,-2002,-99234,89,-2.02%,ue
203,DP,48,2010-12-18,2010-10-04,670/640/600,1.0,2010-11-09,36,39,4725,-99000,90,4.77%,ue
204,DP,49,2011-01-22,2010-11-09,720/690/650,1.65,2010-12-14,35,39,-2337,-99024,85,-2.36%,ue
205,DP,50,2011-02-19,2010-12-08,760/730/690,1.45,2011-01-11,34,39,1087,-99615,87,1.09%,ue
206,DP,51,2011-03-19,2011-01-04,790/760/720,1.1,2011-02-11,38,36,5625,-99900,90,5.63%,ue
207,DP,52,2011-04-16,2011-02-02,800/770/730,1.55,2011-03-30,56,17,-1935,-99330,86,-1.95%,ue
208,DP,53,2011-05-21,2011-03-07,820/790/750,0.7,2011-04-13,37,38,19994,-99510,93,20.09%,tp
209,DP,54,2011-06-18,2011-04-07,850/820/780,0.9,2011-05-09,32,40,20930,-99190,91,21.1%,tp
210,DP,55,2011-07-16,2011-05-02,850/820/780,0.3,2011-05-18,16,59,20855,-99910,97,20.87%,tp
211,DP,56,2011-08-20,2011-06-06,800/770/730,1.35,2011-07-12,36,39,3080,-99880,88,3.08%,ue
212,DP,57,2011-09-17,2011-07-08,850/820/780,1.65,2011-07-27,19,52,-3400,-99025,85,-3.43%,le
213,DP,58,2011-10-22,2011-08-08,670/640/600,0.0,2011-09-14,37,38,5940,-99000,99,6.0%,ue
214,DP,59,2011-11-19,2011-09-06,680/650/610,-0.65,2011-10-03,27,47,-7949,-99109,106,-8.02%,le
215,DP,60,2011-12-17,2011-10-03,620/590/550,-1.0,2011-11-08,36,39,14430,-99900,111,14.44%,ue
216,DP,61,2012-01-21,2011-11-07,740/710/670,0.05,2011-11-22,15,60,-3465,-99495,99,-3.48%,le
217,DP,62,2012-02-18,2011-12-07,750/720/680,0.55,2011-12-14,7,66,-7990,-99170,94,-8.06%,le
218,DP,63,2012-03-17,2012-01-04,750/720/680,0.6,2012-02-07,34,39,470,-99640,94,0.47%,ue
219,DP,64,2012-04-21,2012-02-06,830/800/760,1.25,2012-03-06,29,46,10119,-99000,88,10.22%,le
220,DP,65,2012-05-19,2012-03-05,800/770/730,0.9,2012-04-18,44,31,16834,-99190,91,16.97%,tp
221,DP,66,2012-06-16,2012-04-03,830/800/760,1.1,2012-04-10,7,67,-3600,-99900,90,-3.6%,le
222,DP,67,2012-07-21,2012-05-08,790/760/720,1.2,2012-05-18,10,64,-7120,-99680,89,-7.14%,le
223,DP,68,2012-08-18,2012-06-04,730/700/660,0.45,2012-07-10,36,39,6650,-99275,95,6.7%,ue
224,DP,69,2012-09-22,2012-07-09,800/770/730,1.35,2012-08-13,35,40,19800,-99880,88,19.82%,tp
225,DP,70,2012-10-20,2012-08-08,800/770/730,1.65,2012-09-11,34,39,-2550,-99025,85,-2.58%,ue
226,DP,71,2012-11-17,2012-09-05,820/790/750,1.25,2012-10-10,35,38,20239,-99000,88,20.44%,tp
227,DP,72,2012-12-22,2012-10-08,840/810/770,2.15,2012-11-08,31,44,15580,-99630,82,15.64%,le
228,DP,73,2013-01-19,2012-11-07,810/780/740,2.0,2012-11-15,8,65,1245,-99600,83,1.25%,le
229,DP,74,2013-02-16,2012-12-03,820/790/750,1.95,2013-01-08,36,39,-7055,-99185,83,-7.11%,ue
230,DP,75,2013-03-16,2013-01-03,870/840/800,2.05,2013-02-05,33,39,-3280,-98810,82,-3.32%,ue
231,DP,76,2013-04-20,2013-02-04,900/870/830,2.35,2013-03-12,36,39,-8000,-98800,80,-8.1%,ue
232,DP,77,2013-05-18,2013-03-11,940/910/870,2.65,2013-04-15,35,33,16985,-99935,79,17.0%,tp
233,DP,78,2013-06-22,2013-04-12,940/910/870,2.2,2013-05-14,32,39,-6074,-98820,81,-6.15%,ue
234,DP,79,2013-07-20,2013-05-13,970/940/900,1.75,2013-06-24,42,26,15300,-99875,85,15.32%,tp
235,DP,80,2013-08-17,2013-06-03,990/960/920,0.95,2013-07-10,37,38,8417,-99645,91,8.45%,ue
236,DP,81,2013-09-21,2013-07-16,1040/1010/970,1.8,2013-08-19,34,33,19319,-99120,84,19.49%,tp
237,DP,82,2013-10-19,2013-08-06,1050/1020/980,1.4,2013-08-30,24,50,435,-99180,87,0.44%,le
238,DP,83,2013-11-16,2013-09-12,1050/1020/980,1.5,2013-10-11,29,36,1720,-98900,86,1.74%,ue
239,DP,84,2013-12-21,2013-10-07,1070/1040/1000,0.8,2013-11-12,36,39,12420,-99360,92,12.5%,ue
240,DP,85,2014-01-18,2013-11-05,1100/1070/1030,1.55,2013-12-18,43,31,2149,-99329,86,2.16%,ue
241,DP,86,2014-02-22,2013-12-09,1130/1100/1060,1.1,2014-01-14,36,39,4274,-99900,90,4.28%,ue
242,DP,87,2014-03-22,2014-01-06,1150/1120/1080,1.3,2014-02-03,28,47,880,-99439,88,0.88%,le
243,DP,88,2014-04-19,2014-02-03,1090/1060/1020,0.4,2014-03-11,36,39,719,-99839,96,0.72%,ue
244,DP,89,2014-05-17,2014-03-03,1170/1140/1100,0.8,2014-04-10,38,37,7819,-99359,92,7.87%,le
245,DP,90,2014-06-21,2014-04-07,1140/1110/1070,0.45,2014-05-08,31,44,12825,-99275,95,12.92%,le
246,DP,91,2014-07-19,2014-05-05,1120/1090/1050,0.6,2014-06-10,36,39,6109,-99640,94,6.13%,ue
247,DP,92,2014-08-16,2014-06-02,1130/1100/1060,0.85,2014-07-08,36,39,5520,-99820,92,5.53%,ue
248,DP,93,2014-09-20,2014-07-07,1190/1160/1120,1.3,2014-07-17,10,65,-10559,-99439,88,-10.62%,le
249,DP,94,2014-10-18,2014-08-05,1120/1090/1050,0.5,2014-09-09,35,39,9024,-99750,95,9.05%,ue
250,DP,95,2014-11-22,2014-09-09,1160/1130/1090,0.95,2014-09-25,16,58,910,-99644,91,0.91%,le
251,DP,96,2014-12-20,2014-10-06,1100/1070/1030,0.75,2014-10-10,4,71,-7439,-99975,93,-7.44%,le
252,DP,97,2015-01-17,2014-11-03,1170/1140/1100,0.6,2014-12-22,49,26,8694,-99639,94,8.73%,ue
253,DP,98,2015-02-20,2014-12-08,1170/1140/1100,0.65,2015-01-23,46,28,12555,-99045,93,12.68%,tp
254,DP,99,2015-03-20,2015-01-05,1180/1150/1110,0.15,2015-02-12,38,36,11760,-99470,98,11.82%,ue
255,DP,100,2015-04-17,2015-02-04,1190/1160/1120,0.15,2015-03-09,33,39,10779,-99470,98,10.84%,ue
256,DP,101,2015-05-15,2015-03-03,1230/1200/1160,0.85,2015-04-08,36,37,5519,-99820,92,5.53%,ue
257,DP,102,2015-06-19,2015-04-07,1250/1220/1180,0.6,2015-05-12,35,38,19740,-99640,94,19.81%,tp
258,DP,103,2015-07-17,2015-05-05,1210/1180/1140,0.5,2015-06-08,34,39,5700,-99750,95,5.71%,ue
259,DP,104,2015-08-21,2015-06-08,1260/1230/1190,0.6,2015-07-17,39,35,18800,-99640,94,18.87%,tp
260,DP,105,2015-09-18,2015-07-06,1240/1210/1170,-0.0,2015-07-28,22,52,19800,-99000,99,20.0%,tp
261,DP,106,2015-10-16,2015-08-03,1230/1200/1160,0.95,2015-08-20,17,57,-2730,-99644,91,-2.74%,le
262,DP,107,2015-11-20,2015-09-09,1150/1120/1080,-0.05,2015-09-28,19,53,-2000,-99499,100,-2.01%,le
